Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"doubleClick(findTestObject(""Object Repository/Faculty/Profile/input_JNTUA No._jntuhID""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:17,2021-03-08 18:17:18,0.623s,PASSED
"setText(findTestObject(""Object Repository/Faculty/Profile/input_JNTUA No._jntuhID""), ""123455678"")",Chrome 87.0.4280.141,,,2021-03-08 18:17:18,2021-03-08 18:17:20,1.635s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/button_Update""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:20,2021-03-08 18:17:20,0.851s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:17:20,2021-03-08 18:17:21,1.066s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/button_Contact Details""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:21,2021-03-08 18:17:22,0.857s,PASSED
"click(findTestObject(""Faculty/Profile/button_Change Contact Information""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:22,2021-03-08 18:17:23,0.850s,PASSED
"doubleClick(findTestObject(""Object Repository/Faculty/Profile/input_Mobile No_mobileNumber""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:23,2021-03-08 18:17:24,0.607s,PASSED
"setText(findTestObject(""Object Repository/Faculty/Profile/input_Mobile No_mobileNumber""), ""09248708087"")",Chrome 87.0.4280.141,,,2021-03-08 18:17:24,2021-03-08 18:17:25,1.625s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/button_Update Contact Details""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:25,2021-03-08 18:17:26,0.835s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:17:26,2021-03-08 18:17:27,0.996s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/button_Book Publications""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:27,2021-03-08 18:17:28,0.857s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:17:28,2021-03-08 18:17:29,0.640s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/button_Journal Publications""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:29,2021-03-08 18:17:30,0.862s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:17:30,2021-03-08 18:17:30,0.606s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/button_Research Guidlance""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:30,2021-03-08 18:17:31,0.867s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:17:31,2021-03-08 18:17:32,0.623s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/span_ MORE""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:32,2021-03-08 18:17:33,0.851s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/button_Workshop Details""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:33,2021-03-08 18:17:34,0.980s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:17:34,2021-03-08 18:17:34,0.827s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/span_ MORE""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:34,2021-03-08 18:17:35,0.814s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/button_Grant Received""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:35,2021-03-08 18:17:36,0.978s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:17:36,2021-03-08 18:17:37,0.881s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/span_ MORE""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:37,2021-03-08 18:17:38,0.816s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/button_Conferences""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:38,2021-03-08 18:17:39,0.923s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:17:39,2021-03-08 18:17:40,0.811s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/span_ MORE""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:40,2021-03-08 18:17:40,0.868s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/button_Ph.D Details""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:40,2021-03-08 18:17:41,0.987s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:17:41,2021-03-08 18:17:42,0.873s,PASSED
"click(findTestObject(""Object Repository/Faculty/Mentoring/svg_Dr. P.C. Senthil Mahesh_svg-inline--fa _bc1b97""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:42,2021-03-08 18:17:43,0.873s,PASSED
"click(findTestObject(""Object Repository/Faculty/Mentoring/button_logout""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:43,2021-03-08 18:17:44,0.940s,PASSED
,,,,,,,
Test Cases/Web/Faculty/Allocated Courses,Chrome 87.0.4280.141,Allocated Courses,"Allocated Courses, Faculty",2021-03-08 18:17:44,2021-03-08 18:18:14,29.820s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,,2021-03-08 18:17:44,2021-03-08 18:17:46,1.954s,PASSED
"navigateToUrl(""https://oecfrontend.vercel.app/"")",Chrome 87.0.4280.141,,,2021-03-08 18:17:46,2021-03-08 18:17:48,1.066s,PASSED
"setText(findTestObject(""Object Repository/Faculty/Allocated Courses/input_Faculty Login_username""), ""AITS051002"")",Chrome 87.0.4280.141,,,2021-03-08 18:17:48,2021-03-08 18:17:49,1.667s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Faculty/Allocated Courses/input_Faculty Login_password""), ""/HuGEUzXDLUt1zEZ6TwafQ=="")",Chrome 87.0.4280.141,,,2021-03-08 18:17:49,2021-03-08 18:17:51,1.341s,PASSED
"click(findTestObject(""Faculty/Imports/button_Login""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:51,2021-03-08 18:17:51,0.846s,PASSED
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:51,2021-03-08 18:17:53,1.617s,PASSED
"click(findTestObject(""Faculty/Imports/div_Role ()AdminFacultyHOD""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:53,2021-03-08 18:17:54,0.979s,PASSED
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:54,2021-03-08 18:17:55,0.941s,PASSED
"click(findTestObject(""Faculty/Imports/a_Faculty""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:55,2021-03-08 18:17:56,0.941s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-03-08 18:17:56,2021-03-08 18:17:58,2.005s,PASSED
"click(findTestObject(""Object Repository/Faculty/Allocated Courses/img""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:58,2021-03-08 18:17:59,0.799s,PASSED
"click(findTestObject(""Object Repository/Faculty/Allocated Courses/button_Reference""))",Chrome 87.0.4280.141,,,2021-03-08 18:17:59,2021-03-08 18:18:01,2.477s,PASSED
"click(findTestObject(""Object Repository/Faculty/Allocated Courses/button_Reference Books""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:01,2021-03-08 18:18:02,1.267s,PASSED
"click(findTestObject(""Object Repository/Faculty/Allocated Courses/button_External Resource Links  Notes""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:02,2021-03-08 18:18:03,0.960s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:18:03,2021-03-08 18:18:04,0.847s,PASSED
"focus(findTestObject(""Faculty/Allocated Courses/Ref_close""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:04,2021-03-08 18:18:05,0.464s,PASSED
"click(findTestObject(""Faculty/Allocated Courses/Ref_close""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:05,2021-03-08 18:18:05,0.791s,PASSED
